angular_velocity,sin,cos,epoch
5.506483095161944785e-01,2.330688276980323603e-02,-1.084941124508337351e-02,1.784447906055999041e+09
5.454090042867993926e-01,2.292786492292490930e-02,-1.066168854064802884e-02,1.784447906088999033e+09
5.402463093954599227e-01,2.255832369570269502e-02,-1.048825585810381211e-02,1.784447906121999025e+09
5.351594412100586506e-01,2.219814211238128887e-02,-1.032844041476072006e-02,1.784447906154999018e+09
5.301476039485384373e-01,2.184719783381920688e-02,-1.018159492989018089e-02,1.784447906187999010e+09
5.252099910152343565e-01,2.150536369388815483e-02,-1.004709682783005986e-02,1.784447906220999002e+09
5.203457862706419856e-01,2.117250820643461207e-02,-9.924347459801807769e-03,1.784447906253998995e+09
5.155541652379758144e-01,2.084849604406484314e-02,-9.812771344292314790e-03,1.784447906286998987e+09
5.108342962486209782e-01,2.053318848999323432e-02,-9.711815425803294044e-03,1.784447906319998980e+09
5.061853415283541491e-01,2.022644386413700868e-02,-9.620948351808322752e-03,1.784447906352998972e+09
5.016064582276873463e-01,1.992811792457997722e-02,-9.539659767683061897e-03,1.784447906385998964e+09
4.970967993978125943e-01,1.963806424550311458e-02,-9.467459629416807854e-03,1.784447906418998957e+09
4.926555149141369494e-01,1.935613457267264248e-02,-9.403877533869120509e-03,1.784447906451998949e+09
4.882817523506479684e-01,1.908217915743774806e-02,-9.348462066340601506e-03,1.784447906484998941e+09
4.839746578054506809e-01,1.881604707027888235e-02,-9.300780165218014428e-03,1.784447906517998934e+09
4.797333766811140432e-01,1.855758649480902800e-02,-9.260416503427293389e-03,1.784447906550998926e+09
4.755570544205089956e-01,1.830664500314098386e-02,-9.226972886449302802e-03,1.784447906583998919e+09
4.714448372002981724e-01,1.806306981349818652e-02,-9.200067666639000219e-03,1.784447906616998911e+09
4.673958725843510020e-01,1.782670803089329847e-02,-9.179335173554903360e-03,1.784447906649998903e+09
4.634093101381642210e-01,1.759740687169168705e-02,-9.164425160055500452e-03,1.784447906682998896e+09
4.594843020057657323e-01,1.737501387282007481e-02,-9.155002263858846856e-03,1.784447906715998888e+09
4.556200034517734476e-01,1.715937708636643133e-02,-9.150745484295341736e-03,1.784447906748998880e+09
4.518155733690638609e-01,1.695034526028875443e-02,-9.151347673971244046e-03,1.784447906781998873e+09
4.480701747536419699e-01,1.674776800590065118e-02,-9.156515045053381652e-03,1.784447906814998865e+09
4.443829751489294377e-01,1.655149595282294495e-02,-9.165966689890836516e-03,1.784447906847998857e+09
4.407531470598688994e-01,1.636138089197329559e-02,-9.179434115680507045e-03,1.784447906880998850e+09
4.371798683390044626e-01,1.617727590727240095e-02,-9.196660792897659586e-03,1.784447906913998842e+09
4.336623225450499941e-01,1.599903549657481772e-02,-9.217401717187712062e-03,1.784447906946998835e+09
4.301996992758210236e-01,1.582651568243191587e-02,-9.241422984445690769e-03,1.784447906979998827e+09
4.267911944762692311e-01,1.565957411319145176e-02,-9.268501378793814194e-03,1.784447907012998819e+09
4.234360107232111314e-01,1.549807015495245632e-02,-9.298423973158775890e-03,1.784447907045998812e+09
4.201333574871488619e-01,1.534186497485150180e-02,-9.330987742176943822e-03,1.784447907078998804e+09
4.168824513731157477e-01,1.519082161617772708e-02,-9.365999187145035432e-03,1.784447907111998796e+09
4.136825163410582373e-01,1.504480506573584175e-02,-9.403273972716064133e-03,1.784447907144998789e+09
4.105327839063226403e-01,1.490368231389409270e-02,-9.442636575090090911e-03,1.784447907177998781e+09
4.074324933223498757e-01,1.476732240771864990e-02,-9.483919941408458509e-03,1.784447907210998774e+09
4.043808917454645435e-01,1.463559649761363157e-02,-9.526965160065514748e-03,1.784447907243998766e+09
4.013772343827815003e-01,1.450837787780782928e-02,-9.571621141698016810e-03,1.784447907276998758e+09
3.984207846247647122e-01,1.438554202107182600e-02,-9.617744310557341247e-03,1.784447907309998751e+09
3.955108141621541673e-01,1.426696660798169869e-02,-9.665198306010480689e-03,1.784447907342998743e+09
3.926466030890798375e-01,1.415253155108102401e-02,-9.713853693922913646e-03,1.784447907375998735e+09
3.898274399925332201e-01,1.404211901424316788e-02,-9.763587687637353962e-03,1.784447907408998728e+09
3.870526220285375185e-01,1.393561342752518140e-02,-9.814283878319229881e-03,1.784447907441998720e+09
3.843214549870059837e-01,1.383290149779752010e-02,-9.865831974411320981e-03,1.784447907474998713e+09
3.816332533444926067e-01,1.373387221543380388e-02,-9.918127549952415745e-03,1.784447907507998705e+09
3.789873403060857182e-01,1.363841685730220188e-02,-9.971071801518405220e-03,1.784447907540998697e+09
3.763830478375813637e-01,1.354642898631779058e-02,-1.002457131354955733e-02,1.784447907573998690e+09
3.738197166873111765e-01,1.345780444776904783e-02,-1.007853783182949270e-02,1.784447907606998682e+09
3.712966963991595204e-01,1.337244136266717287e-02,-1.013288804488138295e-02,1.784447907639998674e+09
3.688133453171109633e-01,1.329024011831718421e-02,-1.018754337307709035e-02,1.784447907672998667e+09
3.663690305814417680e-01,1.321110335629553656e-02,-1.024242976520878257e-02,1.784447907705998659e+09
3.639631281173512090e-01,1.313493595806163039e-02,-1.029747750233472869e-02,1.784447907738998652e+09
3.615950226167148340e-01,1.306164502836308638e-02,-1.035262100866479740e-02,1.784447907771998644e+09
3.592641075125617700e-01,1.299113987659465674e-02,-1.040779866929558706e-02,1.784447907804998636e+09
3.569697849480382157e-01,1.292333199630617269e-02,-1.046295265458202506e-02,1.784447907837998629e+09
3.547114657388907855e-01,1.285813504298742582e-02,-1.051802875094648426e-02,1.784447907870998621e+09
3.524885693306065715e-01,1.279546481030051364e-02,-1.057297619794245191e-02,1.784447907903998613e+09
3.503005237506646719e-01,1.273523920487688865e-02,-1.062774753136136452e-02,1.784447907936998606e+09
3.481467655558423413e-01,1.267737821982477253e-02,-1.068229843221563113e-02,1.784447907969998598e+09
3.460267397748599816e-01,1.262180390706772737e-02,-1.073658758140955127e-02,1.784447908002998590e+09
3.439398998475018399e-01,1.256844034863872916e-02,-1.079057651991516265e-02,1.784447908035998583e+09
3.418857075595871375e-01,1.251721362703277218e-02,-1.084422951429137028e-02,1.784447908068998575e+09
3.398636329740758466e-01,1.246805179472103287e-02,-1.089751342736161588e-02,1.784447908101998568e+09
3.378731543598438858e-01,1.242088484295093831e-02,-1.095039759390087353e-02,1.784447908134998560e+09
3.359137581165361208e-01,1.237564466988187728e-02,-1.100285370115966499e-02,1.784447908167998552e+09
3.339849386973730017e-01,1.233226504818800418e-02,-1.105485567407232805e-02,1.784447908200998545e+09
3.320861985292287155e-01,1.229068159219563749e-02,-1.110637956499321843e-02,1.784447908233998537e+09
3.302170479303787598e-01,1.225083172461920167e-02,-1.115740344782406579e-02,1.784447908266998529e+09
3.283770050264285256e-01,1.221265464298808279e-02,-1.120790731636550630e-02,1.784447908299998522e+09
3.265655956642523616e-01,1.217609128582834710e-02,-1.125787298676667048e-02,1.784447908332998514e+09
3.247823533242273353e-01,1.214108429866327110e-02,-1.130728400393427036e-02,1.784447908365998507e+09
3.230268190312732823e-01,1.210757799988242123e-02,-1.135612555176263028e-02,1.784447908398998499e+09
3.212985412644717709e-01,1.207551834656099554e-02,-1.140438436706209258e-02,1.784447908431998491e+09
3.195970758654913535e-01,1.204485290026140187e-02,-1.145204865703836061e-02,1.784447908464998484e+09
