epoch,velocity,sin,cos
1784623577.4839975834,5.7181505091,0.0316848289,0.9990580713
1784623577.5169975758,4.1039584039,0.1922491558,0.9813501812
1784623577.5499975681,2.9470167239,0.3044735328,0.9528774000
1784623577.5829975605,2.1830968237,0.3837227893,0.9241593313
1784623577.6159975529,1.7260330019,0.4424302095,0.8978547705
1784623577.6489975452,1.4991381539,0.4895791368,0.8732985140
1784623577.6819975376,1.4459867016,0.5315085436,0.8486419050
1784623577.7149975300,1.5319045836,0.5727393171,0.8216000516
1784623577.7479975224,1.7423551777,0.6165944214,0.7895143269
1784623577.7809975147,2.0808377392,0.6656005428,0.7490783965
1784623577.8139975071,2.5674076918,0.7216174937,0.6958555093
1784623577.8469974995,3.2379871765,0.7855348050,0.6236050079
1784623577.8799974918,4.1436185199,0.8562192562,0.5234792141
1784623577.9129974842,5.3468725642,0.9281356707,0.3834178646
1784623577.9459974766,6.9090487910,0.9868549164,0.1888994516
1784623577.9789974689,8.8558552032,1.0023223270,-0.0719289167
1784623578.0119974613,11.1060882819,0.9237489186,-0.3933856087
1784623578.0449974537,13.3659505166,0.6903447169,-0.7258415650
1784623578.0779974461,15.0569711856,0.2791875820,-0.9591797952
1784623578.1109974384,15.4762436426,-0.2290758147,-0.9705957581
1784623578.1439974308,14.2779020278,-0.6674017304,-0.7408671909
1784623578.1769974232,11.7899531183,-0.9184263009,-0.3895392803
1784623578.2099974155,8.7890268749,-0.9963613859,-0.0590415075
1784623578.2429974079,5.9753236639,-0.9814082155,0.1830068316
1784623578.2759974003,3.6973168281,-0.9402015998,0.3353879476
1784623578.3089973927,2.0207993368,-0.9051278552,0.4211566419
1784623578.3419973850,0.8578002582,-0.8849677501,0.4626057711
1784623578.3749973774,0.0696044046,-0.8785875572,0.4751343601
1784623578.4079973698,-0.4750210059,-0.8824391212,0.4683190940
1784623578.4409973621,-0.8815104274,-0.8933015148,0.4476043291
1784623578.4739973545,-1.2303392500,-0.9088946135,0.4154732649
1784623578.5069973469,-1.5837310493,-0.9277065276,0.3721916715
1784623578.5399973392,-1.9933579235,-0.9485365471,0.3162202773
1784623578.5729973316,-2.5075491835,-0.9698617170,0.2443678213
1784623578.6059973240,-3.1773787095,-0.9889284705,0.1517969624
1784623578.6389973164,-4.0607438705,-1.0003202240,0.0321200708
1784623578.6719973087,-5.2222526635,-0.9936516580,-0.1218546596
